[1681772400000, '29502.29000000', '29510.43000000', '29502.21000000', '29506.87000000', '3.50494400']
[1681772580000, '29506.88000000', '29506.90000000', '29487.32000000', '29487.33000000', '4.81147700']
[1681772760000, '29487.33000000', '29487.33000000', '29480.02000000', '29480.46000000', '1.43924700']
[1681772940000, '29480.46000000', '29489.12000000', '29479.99000000', '29480.01000000', '3.65110200']
[1681773120000, '29480.01000000', '29488.99000000', '29480.00000000', '29480.00000000', '1.78014900']
[1681773300000, '29480.01000000', '29483.74000000', '29479.99000000', '29479.99000000', '0.89795200']
[1681773480000, '29479.99000000', '29485.79000000', '29333.71000000', '29478.20000000', '11.82872800']
[1681773660000, '29478.22000000', '29487.66000000', '29476.33000000', '29477.42000000', '5.57737300']
[1681773840000, '29477.47000000', '29478.87000000', '29473.06000000', '29473.20000000', '3.99772400']
[1681774020000, '29477.42000000', '29478.90000000', '29465.38000000', '29471.78000000', '10.35781400']
[1681774200000, '29470.02000000', '29483.12000000', '29465.32000000', '29473.69000000', '12.55350700']
[1681774380000, '29473.69000000', '29484.28000000', '29454.03000000', '29462.91000000', '25.89061500']
[1681774560000, '29462.39000000', '29480.29000000', '29456.09000000', '29456.09000000', '4.58337900']
[1681774740000, '29456.09000000', '29457.90000000', '29445.56000000', '29451.32000000', '4.33698000']
[1681774920000, '29451.29000000', '29451.29000000', '29208.47000000', '29442.57000000', '16.61739000']
[1681775100000, '29438.78000000', '29446.62000000', '29422.57000000', '29424.51000000', '12.86201300']
[1681775280000, '29424.45000000', '29446.79000000', '29411.00000000', '29446.77000000', '10.69729000']
[1681775460000, '29446.77000000', '29453.08000000', '29414.00000000', '29414.01000000', '8.33997000']
[1681775640000, '29414.01000000', '29415.58000000', '29405.96000000', '29405.96000000', '2.04377500']
[1681775820000, '29405.95000000', '29431.45000000', '29396.88000000', '29430.28000000', '6.05250400']
[1681776000000, '29430.27000000', '29437.99000000', '29426.62000000', '29429.26000000', '3.96116900']
[1681776180000, '29429.26000000', '29434.95000000', '29421.70000000', '29434.80000000', '4.63275500']
[1681776360000, '29434.79000000', '29441.29000000', '29434.46000000', '29440.95000000', '3.77908700']
[1681776540000, '29440.94000000', '29444.15000000', '29440.94000000', '29442.92000000', '2.73622300']
[1681776720000, '29442.94000000', '29450.42000000', '29442.93000000', '29450.28000000', '1.92260300']
[1681776900000, '29449.15000000', '29449.15000000', '29414.46000000', '29416.15000000', '5.02488800']
[1681777080000, '29415.19000000', '29415.19000000', '29390.34000000', '29398.89000000', '7.99591000']
[1681777260000, '29398.82000000', '29435.26000000', '29398.78000000', '29421.93000000', '7.57676700']
[1681777440000, '29423.79000000', '29432.33000000', '29404.15000000', '29404.15000000', '7.39395700']
[1681777620000, '29403.41000000', '29403.41000000', '29396.01000000', '29399.21000000', '1.88059900']
[1681777800000, '29399.20000000', '29420.55000000', '29399.20000000', '29420.55000000', '4.48057800']
[1681777980000, '29420.39000000', '29427.35000000', '29420.39000000', '29421.18000000', '2.09263700']
[1681778160000, '29421.12000000', '29421.12000000', '29371.24000000', '29371.24000000', '8.52087500']
[1681778340000, '29371.24000000', '29374.69000000', '29326.09000000', '29341.47000000', '11.98606600']
[1681778520000, '29341.17000000', '29344.55000000', '29302.61000000', '29322.74000000', '11.51188600']
[1681778700000, '29322.74000000', '29342.48000000', '29322.74000000', '29335.38000000', '10.34341800']
[1681778880000, '29335.39000000', '29339.99000000', '29327.30000000', '29339.59000000', '7.94424000']
[1681779060000, '29339.58000000', '29369.20000000', '29338.07000000', '29367.69000000', '9.79863900']
